datetime,price,volume,side
2026-05-14 22:10:09.654,81435.12,1.38e-05,buy
2026-05-14 22:10:09.654,81432.01,0.0019862,buy
2026-05-14 22:10:09.756,81433.97,0.067528,buy
2026-05-14 22:10:10.267,81433.98,0.00243118,sell
2026-05-14 22:10:10.358,81433.97,8e-08,buy
2026-05-14 22:10:11.404,81435.03,9e-08,buy
2026-05-14 22:10:11.407,81435.04,0.0026,sell
2026-05-14 22:10:11.407,81435.11,0.00336611,sell
2026-05-14 22:10:11.785,81435.11,0.00145871,sell
2026-05-14 22:10:12.365,81435.1,0.000152,buy
2026-05-14 22:10:12.518,81435.1,2e-08,buy
2026-05-14 22:10:12.577,81435.09,2.11e-05,buy
2026-05-14 22:10:12.577,81435.09,0.0675289,buy
2026-05-14 22:10:12.608,81435.09,0.067528,buy
2026-05-14 22:10:13.534,81435.09,9e-07,buy
2026-05-14 22:10:13.534,81435.09,6.13e-06,buy
2026-05-14 22:10:13.534,81435.09,0.00084497,buy
2026-05-14 22:10:13.667,81435.09,6e-08,buy
2026-05-14 22:10:13.685,81435.09,0.067528,buy
2026-05-14 22:10:14.725,81433.08,2e-08,buy
2026-05-14 22:10:14.742,81433.08,0.00382455,buy
2026-05-14 22:10:14.758,81433.1,0.00079198,sell
2026-05-14 22:10:15.069,81433.1,0.00023291,sell
2026-05-14 22:10:15.597,81433.1,0.02441526,sell
2026-05-14 22:10:15.865,81433.09,2e-08,buy
2026-05-14 22:10:15.940,81433.1,0.00291144,sell
2026-05-14 22:10:16.221,81433.1,0.00030392,sell
2026-05-14 22:10:16.934,81433.09,2e-08,buy
2026-05-14 22:10:17.635,81433.1,0.00029113,sell
2026-05-14 22:10:17.886,81433.1,0.00013373,sell
2026-05-14 22:10:18.035,81433.09,5e-08,buy
2026-05-14 22:10:18.589,81433.1,0.00091963,sell
2026-05-14 22:10:18.589,81433.1,0.000307,sell
2026-05-14 22:10:18.589,81433.1,0.00110268,sell
2026-05-14 22:10:18.666,81433.1,0.00029834,sell
2026-05-14 22:10:19.625,81433.1,1.191e-05,sell
2026-05-14 22:10:19.640,81433.1,0.00116477,sell
2026-05-14 22:10:19.697,81433.09,5.8e-07,buy
2026-05-14 22:10:20.053,81433.09,0.00025447,buy
2026-05-14 22:10:20.712,81433.09,0.000307,buy
2026-05-14 22:10:20.712,81433.09,2.5e-05,buy
2026-05-14 22:10:20.742,81433.09,0.067528,buy
2026-05-14 22:10:21.041,81433.1,0.00023573,sell
2026-05-14 22:10:21.323,81433.09,9e-07,buy
2026-05-14 22:10:21.323,81433.08,0.00020378,buy
2026-05-14 22:10:21.323,81432.0,0.00622005,buy
2026-05-14 22:10:21.811,81433.09,8.02e-06,buy
2026-05-14 22:10:22.683,81433.09,0.00115621,buy
2026-05-14 22:10:23.228,81433.1,0.00404183,sell
2026-05-14 22:10:23.295,81433.1,0.00043342,sell
2026-05-14 22:10:24.042,81433.1,0.00170463,sell
2026-05-14 22:10:24.510,81433.1,0.00232957,sell
2026-05-14 22:10:24.555,81433.1,0.0001214,sell
2026-05-14 22:10:24.596,81433.1,1.2e-07,sell
2026-05-14 22:10:25.248,81433.09,4.7e-07,buy
2026-05-14 22:10:25.822,81433.1,0.00285129,sell
2026-05-14 22:10:26.161,81435.11,0.00449949,sell
2026-05-14 22:10:26.161,81435.1,0.14173556,sell
2026-05-14 22:10:26.161,81435.1,0.00014469,sell
2026-05-14 22:10:26.161,81434.72,0.00613989,sell
2026-05-14 22:10:26.161,81433.12,0.03,sell
2026-05-14 22:10:26.161,81433.1,0.000236,sell
2026-05-14 22:10:26.161,81433.1,0.000307,sell
2026-05-14 22:10:26.161,81433.1,0.003922,sell
2026-05-14 22:10:26.161,81433.1,0.01435931,sell
2026-05-14 22:10:26.161,81433.1,0.008631,sell
2026-05-14 22:10:26.162,81435.11,2.506e-05,sell
2026-05-14 22:10:26.167,81435.11,2.506e-05,sell
2026-05-14 22:10:26.167,81435.11,0.05815447,sell
2026-05-14 22:10:26.167,81435.11,0.00014468,sell
2026-05-14 22:10:26.167,81435.14,0.00167579,sell
2026-05-14 22:10:26.172,81435.17,0.02456423,sell
2026-05-14 22:10:26.172,81435.14,0.14832421,sell
2026-05-14 22:10:26.810,81444.88,6e-08,buy
2026-05-14 22:10:27.149,81444.88,0.00012644,buy
2026-05-14 22:10:27.827,81444.0,4e-08,buy
2026-05-14 22:10:28.900,81444.01,0.000306,buy
2026-05-14 22:10:29.129,81444.01,1.8e-07,buy
2026-05-14 22:10:29.449,81444.02,0.00028937,sell
2026-05-14 22:10:29.449,81444.02,0.0026,sell
2026-05-14 22:10:29.449,81444.02,0.00061391,sell
2026-05-14 22:10:29.449,81444.89,9.645e-05,sell
2026-05-14 22:10:29.449,81445.44,1.4e-05,sell
2026-05-14 22:10:29.449,81445.65,0.00032436,sell
2026-05-14 22:10:30.123,81444.01,7.8e-07,buy
2026-05-14 22:10:30.123,81442.7,6.408e-05,buy
2026-05-14 22:10:30.175,81444.0,0.0236,buy
2026-05-14 22:10:30.214,81444.0,0.0236,buy
2026-05-14 22:10:30.304,81442.7,4e-08,buy
2026-05-14 22:10:31.243,81444.02,0.00026525,sell
2026-05-14 22:10:31.243,81445.65,0.00583475,sell
2026-05-14 22:10:31.248,81445.65,0.00030431,sell
2026-05-14 22:10:31.248,81446.04,9.645e-05,sell
2026-05-14 22:10:31.281,81450.6,1.4e-05,sell
2026-05-14 22:10:31.281,81455.13,0.0675289,sell
2026-05-14 22:10:31.281,81455.15,0.00243204,sell
2026-05-14 22:10:31.281,81455.15,2.506e-05,sell
2026-05-14 22:10:31.288,81453.25,0.0675289,sell
2026-05-14 22:10:31.288,81455.15,0.04244604,sell
2026-05-14 22:10:31.289,81455.15,2.506e-05,sell
